point,estimate,z,date
0,0.10365595129170405,0.09914500266313553,1656288000000.0
0,0.1041107057993467,0.09144499897956848,1657670400000.0
0,0.10620775185899216,0.09642250090837479,1658361600000.0
0,0.10562002248565486,0.08866749703884125,1659052800000.0
0,0.1058207830868585,0.08478999882936478,1659744000000.0
0,0.10644398251869314,0.08572500199079514,1660435200000.0
0,0.10642843319327708,0.0809675008058548,1661126400000.0
0,0.10654650360359251,0.07752999663352966,1662508800000.0
0,0.0731125414757743,0.09598249942064285,1686096000000.0
0,0.07045267768620458,0.09075749665498734,1687478400000.0
0,0.07092997741610987,0.09405750036239624,1688169600000.0
0,0.06779792764671802,0.08487249910831451,1689552000000.0
0,0.06838023413743646,0.08567000180482864,1690243200000.0
0,0.06516011018800875,0.0768975019454956,1690934400000.0
0,0.0648454728439753,0.0749175027012825,1691625600000.0
0,0.07071756161079983,0.0855875015258789,1692316800000.0
0,0.06724512571515921,0.07631999999284744,1693008000000.0
0,0.06375846513799521,0.06540250033140182,1694390400000.0
