point,intercept_rmse,cos_rmse,sin_rmse,sum_rmse
0,0.008796467885708275,0.015206244763671216,0.0132972108674984,0.037299923516877886
1,0.013058885668274525,0.015967715875419803,0.011228733945393686,0.040255335489088016
2,0.03398945112298442,0.03618862296237521,0.021556635345160592,0.09173470943052023
3,0.0015729504755955922,0.004705422530979561,0.005483781767527829,0.011762154774102982
4,0.013478673587917012,0.014860220664410062,0.012092901007177465,0.040431795259504535
5,0.03202927029084469,0.02896189335439078,0.019050779902952578,0.08004194354818804
6,0.028585637334959304,0.026675632160277053,0.015227727680885506,0.07048899717612186
7,0.1379991753174503,0.15687944469284545,0.053515537785347636,0.34839415779564337
8,0.11240154344860823,0.17750097590960048,0.05696135808292955,0.3468638774411383
9,0.12467407539866586,0.1571873631092363,0.0560908247061845,0.33795226321408667
10,0.15010059225083416,0.25538021063727356,0.08540624049857756,0.4908870433866853
11,0.025471367577775985,0.024185638307825368,0.019050590412371723,0.06870759629797307
12,0.06478117289404664,0.05740446184282011,0.025925399170448556,0.1481110339073153
13,0.006140031048065252,0.007830083538282597,0.005813345552403803,0.019783460138751652
14,0.0387752944053169,0.2693568672244898,0.07557062895752323,0.3837027905873299
15,0.3561860155157137,0.4635873414747277,0.11878585848959161,0.9385592154800331
total,0.11358838546607972,0.1660274281568822,0.04935678582148286,0.3289725994444448
