point,intercept_rmse,cos_rmse,sin_rmse,sum_rmse
0,0.008546650737343049,0.014437666835413707,0.012556200685984719,0.03554051825874147
1,0.013025720784135197,0.015939336355545314,0.010861661338952965,0.03982671847863348
2,0.03397114277629496,0.03615805829156949,0.021428640796529088,0.09155784186439354
3,0.0015709770930886354,0.004697693049730674,0.005404701721350348,0.011673371864169658
4,0.01348732606849604,0.014799937201212268,0.011894634451056634,0.04018189772076494
5,0.03202675568012377,0.028945972041646353,0.01901771847400748,0.0799904461957776
6,0.23936119223230387,0.25445745130912767,0.06085364812374056,0.5546722916651722
7,0.028642542993147207,0.026829098357627854,0.014897919637082917,0.07036956098785799
8,0.020107670834749628,0.019209415656078605,0.010786560445648172,0.050103646936476405
9,0.13776814248840838,0.1567899473250972,0.05320489469650285,0.3477629845100085
10,0.11215147733997237,0.1774618503635955,0.05657856037213515,0.346191888075703
11,0.1246281497966033,0.15698083002388027,0.05564592877877661,0.3372549085992602
12,0.1502782203184726,0.25535753466648914,0.08543158235409107,0.49106733733905283
13,0.025681948045461412,0.02423949710647672,0.017947673598824963,0.0678691187507631
14,0.06509861927105672,0.05790639224147292,0.024700606357953795,0.14770561787048342
15,0.006140080315544776,0.007669947260187441,0.00560386397102508,0.019413891546757298
16,0.03878870775042098,0.2694454572686573,0.07515539634538237,0.3833895613644607
17,0.3563648622854756,0.46391928045639047,0.11798130043269713,0.9382654431745633
18,0.033116018978050846,0.026462424490280006,0.09188207687946777,0.1514605203477986
19,0.004073741544628433,0.04454545620268379,0.05676628110015766,0.10538547884746988
total,0.11518418048763217,0.15954914228795766,0.05192873020474422,0.326662052980334
