point,longitude,latitude,intercept_2022,cos_2022,sin_2022,intercept_2023,cos_2023,sin_2023
0,-123.55091549548354,42.88031651945386,0.08793223260032393,-0.00947818395443636,0.016032416280523064,0.07705875956918401,-0.01356704864460511,0.013851484496582887
1,-123.45254997187244,45.863082588844314,0.07243980405816466,-0.02972261781932711,-0.00968424700209271,0.09597649892124127,-0.0051973492848380945,0.010965544578327335
2,-123.06564557900217,42.39621441284184,0.16603802798372055,-0.023267314548848672,-0.016172579965515663,0.12540913112167934,-0.08354711344167653,-0.016440272553852362
3,-122.97446657766405,43.15906375211615,0.09647492787464255,0.011330073084346462,0.01907933565549543,0.0854007442898707,-0.00040450149093796176,0.01652622755271906
4,-122.70353468797359,43.72967362058886,0.11672641872023962,-0.00846278002832222,0.01076062568147726,0.10962241935327877,-0.004221430749137012,0.009653433328497461
5,-122.57471627623086,42.7574269885863,0.1114296200177119,-0.010519217833042343,0.0024761134766651724,0.09307575406167666,-0.026963268776706115,0.0024328119960845803
6,-122.2706365525564,43.4819182652287,0.23047801936168114,0.04121731881420999,0.0278079051350843,0.20355921075451733,0.020081107497509867,0.003810786370086787
7,-122.14828601085931,41.24601152305521,0.09445445507076146,-0.02817842211236051,0.010393367346371592,0.12235216876510811,-0.004215001835844151,0.030962172028250187
8,-122.08324798428906,41.2173552654918,0.1820468221648903,0.0023802918861152178,0.06074869518663284,0.13904622388053278,-0.032641356666776526,0.039858569327126295
9,-122.06878510821474,44.727971395830885,0.08328512141223078,0.004425326626098816,0.010025834855714373,0.09285786886981323,0.015807361266766923,0.017702205093882404
